%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
84018.877,300.692,0.973,7.444,26.968,0.042,14.508,-12.819,-11.649,-21.715,17.412,-17.644,-17.725,-15.732,-14.736,-8.233,21.552,12.344,-5.959,5.233,12.356,-18.351,0,-544.798,-289.718,14.557,-121.283,215.59
84018.877,300.689,0.973,7.465,27.126,-0.118,14.075,-11.704,-11.756,-22.028,18.061,-18.162,-17.404,-16.054,-14.624,-8.233,21.446,12.982,-6.691,5.024,12.356,-19.814,0,-544.798,-289.718,14.557,-121.267,215.601
84010.821,300.69,0.973,7.466,27.126,-0.118,13.966,-12.039,-12.077,-21.924,17.52,-17.228,-17.938,-15.947,-14.847,-9.066,21.129,12.769,-5.854,4.71,11.941,-18.689,0,-544.798,-289.718,14.557,-121.251,215.58
84006.793,300.694,0.973,7.444,26.968,-0.118,13.641,-12.039,-11.436,-21.924,17.844,-17.436,-16.977,-16.375,-14.847,-8.441,20.812,13.301,-6.168,4.71,11.837,-19.026,0,-544.798,-289.718,14.557,-121.251,215.58
84018.877,300.69,0.973,7.455,27.047,-0.118,14.616,-13.599,-11.863,-21.924,16.979,-17.747,-17.298,-15.732,-14.847,-8.024,21.446,12.663,-5.959,5.443,11.837,-19.139,0,-544.798,-289.718,14.557,-121.267,215.58
84014.849,300.694,0.973,7.444,26.968,-0.118,13.858,-11.704,-11.756,-21.61,17.412,-18.266,-17.298,-15.947,-14.178,-8.754,21.34,12.769,-7.109,4.815,11.837,-19.139,0,-544.798,-289.718,14.557,-121.283,215.59
84018.877,300.697,0.973,7.455,27.047,-0.118,13.966,-12.485,-11.222,-22.132,17.952,-17.125,-17.725,-15.947,-14.736,-8.754,20.918,12.556,-6.063,4.187,12.044,-19.026,0,-544.798,-289.718,14.557,-121.283,215.58
84018.877,300.69,0.973,7.422,26.81,-0.278,13.425,-12.039,-11.542,-22.132,17.952,-18.162,-17.298,-16.91,-14.847,-8.649,21.129,12.663,-6.795,5.338,11.629,-19.477,0,-544.798,-289.718,14.557,-121.283,215.59
84010.821,300.69,0.973,7.444,26.968,-0.118,13.966,-13.488,-11.649,-21.193,17.52,-18.059,-17.511,-15.518,-15.405,-8.962,21.34,12.556,-6.795,5.024,11.941,-20.04,0,-544.798,-289.718,14.557,-121.3,215.601
84018.877,300.689,0.973,7.4,26.652,0.042,13.641,-11.927,-12.291,-21.715,17.736,-17.851,-17.191,-15.947,-14.624,-9.275,21.34,12.876,-6.691,4.919,12.044,-19.477,0,-544.798,-289.718,14.557,-121.267,215.58
