%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
101602.424,300.507,1.178,0.000,-0.261,-0.144,-3.999,-3.567,-0.962,-0.418,-2.591,-3.943,-3.417,-3.211,-1.786,-1.251,0.951,-3.823,0.733,-0.836,-1.244,-1.463,-4.053,0.014,-0.184,0.001,535.448,336.520
101614.519,300.512,1.178,0.000,-0.182,0.176,-3.891,-3.344,-1.176,0.314,-0.648,-3.528,-3.310,-2.783,-2.344,-1.459,0.528,-3.717,1.361,-0.627,-1.036,-2.139,-4.053,0.033,-0.174,0.000,535.448,336.520
101606.456,300.509,1.178,0.000,-0.182,0.176,-3.999,-2.675,-0.855,0.732,-0.756,-3.113,-4.057,-2.890,-1.786,-2.605,0.422,-3.823,1.047,-0.627,-1.555,-1.576,-4.074,-0.005,-0.184,0.000,535.448,336.520
101610.487,300.509,1.178,0.000,-0.340,0.176,-4.539,-3.455,-0.428,-0.000,-1.079,-3.113,-3.203,-2.676,-1.898,-1.563,-0.211,-3.717,0.838,-1.045,-0.829,-1.801,-4.064,0.014,-0.184,0.000,535.448,336.520
101610.487,300.512,1.178,0.000,-0.182,0.176,-3.459,-4.124,-0.855,-0.313,-1.295,-3.528,-3.203,-2.676,-2.344,-1.251,0.634,-4.460,0.524,-0.313,-1.244,-1.801,-4.022,0.014,-0.194,-0.000,535.448,336.520
101606.456,300.509,1.178,0.000,-0.182,0.336,-3.891,-2.452,-1.390,0.523,-0.324,-3.736,-3.524,-2.890,-0.893,-2.397,0.422,-3.611,0.105,-0.731,-1.036,-2.251,-4.033,-0.005,-0.174,0.001,535.448,336.520
101598.393,300.511,1.178,0.000,-0.419,0.176,-4.107,-3.344,-0.641,-0.313,-1.187,-3.424,-4.271,-2.676,-1.116,-1.772,0.211,-3.717,0.942,-1.463,-1.244,-1.351,-4.033,0.014,-0.184,-0.001,535.448,336.520
101610.487,300.512,1.178,0.000,-0.261,0.336,-4.973,-2.786,-0.962,0.105,-1.079,-3.736,-3.097,-3.425,-1.563,-2.084,0.739,-3.929,0.314,-0.731,-1.969,-2.026,-4.022,0.014,-0.184,-0.000,535.448,336.520
101602.424,300.514,1.178,0.000,-0.340,-0.144,-4.108,-4.235,-1.390,-0.313,-1.403,-3.736,-3.951,-2.997,-2.568,-1.772,0.422,-4.354,0.524,-0.731,-1.555,-2.139,-4.033,0.014,-0.194,-0.000,535.448,336.520
101618.550,300.511,1.178,0.000,-0.498,0.176,-4.540,-2.786,-1.390,0.314,-1.295,-4.358,-3.737,-2.783,-2.009,-2.605,0.634,-4.142,0.419,-0.627,-1.866,-1.689,-4.043,-0.025,-0.184,0.000,535.448,336.520
101598.393,300.507,1.178,0.000,-0.340,-0.144,-4.432,-3.121,-0.748,-0.835,-1.187,-3.113,-3.524,-3.532,-1.898,-1.667,-0.105,-3.717,1.257,-1.672,-1.451,-1.801,-4.053,-0.025,-0.184,0.000,535.448,336.520
101598.393,300.509,1.178,0.000,-0.182,0.336,-3.999,-3.232,-0.428,-0.104,-1.295,-3.840,-3.844,-3.103,-2.679,-1.355,0.317,-3.823,0.733,-0.940,-0.622,-1.914,-2.013,0.014,-0.113,0.001,535.448,336.520
101606.456,300.514,1.178,0.000,-0.182,0.496,-3.999,-2.452,-1.283,-0.000,-0.972,-3.321,-2.776,-2.782,-1.340,-1.980,0.528,-3.823,0.314,-0.940,-0.829,-1.351,-2.033,-0.044,-0.103,0.000,535.448,336.520
101606.456,300.511,1.178,0.000,-0.182,0.336,-4.215,-2.898,-0.428,-0.522,-1.187,-3.217,-3.524,-2.889,-1.451,-1.146,0.422,-3.611,1.047,-1.672,-0.933,-1.801,-2.013,-0.005,-0.103,-0.000,535.448,336.520
101614.519,300.514,1.178,0.000,-0.261,0.176,-4.323,-3.455,-0.534,0.000,-1.403,-3.425,-3.310,-3.424,-1.675,-1.667,0.528,-3.505,0.524,-1.045,-1.866,-2.026,-2.023,-0.005,-0.113,0.000,535.448,336.520
101622.582,300.514,1.178,0.000,-0.261,0.176,-3.999,-3.455,-1.176,0.105,-0.756,-3.840,-3.630,-2.461,-1.786,-2.188,0.211,-3.717,0.419,-0.836,-0.933,-2.814,-2.013,-0.025,-0.103,0.000,535.448,336.520
101614.519,300.520,1.178,0.000,-0.103,0.016,-3.891,-3.121,-0.855,-0.418,-1.079,-3.009,-3.737,-3.424,-1.116,-2.709,0.317,-3.717,1.152,-0.836,-1.140,-1.914,-2.002,-0.005,-0.082,0.000,535.448,336.520
101618.550,300.514,1.178,0.000,-0.261,-0.144,-4.864,-3.232,-0.855,-1.044,-0.648,-3.736,-3.524,-3.210,-1.675,-1.563,-0.105,-3.823,0.628,-1.254,-0.829,-2.026,-2.013,-0.025,-0.103,0.000,535.448,336.520
101598.393,300.512,1.178,0.000,-0.182,0.336,-3.891,-3.455,-1.283,-0.104,-1.511,-3.528,-2.990,-3.532,-1.786,-1.667,0.634,-4.673,0.733,-0.627,-1.140,-1.801,-2.044,-0.025,-0.103,-0.000,535.448,336.520
101606.456,300.512,1.178,0.000,-0.024,0.016,-4.107,-2.786,-1.390,0.000,-0.756,-4.462,-3.951,-3.211,-1.786,-1.980,0.528,-3.398,0.419,-0.731,-1.036,-2.364,-2.013,0.033,-0.082,0.001,535.448,336.520
101602.424,300.512,1.178,0.000,-0.182,0.016,-4.215,-2.786,-1.176,-0.209,-1.511,-3.424,-4.805,-3.211,-1.563,-1.563,0.634,-3.717,0.838,-1.567,-1.555,-1.463,-2.044,-0.005,-0.103,0.001,535.448,336.520
101614.519,300.512,1.178,0.000,-0.340,0.176,-4.972,-3.009,-0.748,-0.104,-1.187,-3.321,-2.883,-3.639,-1.786,-1.459,0.106,-3.611,1.152,-0.731,-1.347,-1.463,-2.023,-0.005,-0.113,-0.001,535.448,336.520
101606.456,300.514,1.178,0.000,-0.182,0.016,-3.891,-4.012,-0.962,-0.104,-1.187,-3.736,-3.203,-2.462,-1.451,-1.459,0.845,-4.673,0.628,-0.522,-1.658,-1.688,-2.013,-0.005,-0.092,-0.000,535.448,336.520
