%Time(s)	Speed(rpm)		
	%3/22/20171:08 PM
7.660	65.800
7.670	65.600
7.680	65.600
7.690	65.500
7.700	65.300
7.710	65.300
7.720	65.200
7.730	65.200
7.740	65.100
7.750	64.900
7.760	64.700
7.770	64.800
7.780	64.700
7.790	64.800
7.800	64.800
7.810	64.700
7.820	64.600
7.830	64.700
7.840	64.600
7.850	64.500
7.860	64.400
7.870	64.300
7.880	64.200
7.890	63.900
7.900	63.900
7.910	63.800
7.920	63.800
7.930	63.700
7.940	63.500
7.950	63.400
7.960	63.400
7.970	63.300
7.980	63.300
7.990	63.200
8.000	63.000
8.010	63.000
8.020	62.900
8.030	62.900
8.040	62.800
8.050	62.700
8.060	62.700
8.070	62.600
8.080	62.400
8.090	62.400
8.100	62.400
8.110	62.300
8.120	62.200
8.130	62.100
8.140	62.000
8.150	61.800
8.160	61.700
8.170	61.500
8.180	61.400
8.190	61.400
8.200	61.200
8.210	61.200
8.220	61.100
8.230	61.000
8.240	60.900
8.250	60.700
8.260	60.500
8.270	60.400
8.280	60.400
8.290	60.400
8.300	60.300
8.310	60.200
8.320	60.200
8.330	60.100
8.340	60.100
8.350	60.100
8.360	59.900
8.370	59.900
8.380	59.800
8.390	60.000
8.400	59.700
8.410	59.600
8.420	59.400
8.430	59.200
8.440	59.200
8.450	59.300
8.460	59.000
8.470	58.900
8.480	58.900
8.490	58.800
8.500	58.700
8.510	58.700
8.520	58.500
8.530	58.400
8.540	58.300
8.550	58.300
8.560	58.300
8.570	58.300
8.580	58.200
8.590	58.200
8.600	58.200
8.610	58.100
8.620	58.100
8.630	58.000
8.640	57.900
8.650	57.800
8.660	57.700
8.670	57.500
8.680	57.500
8.690	57.300
8.700	57.300
8.710	57.100
8.720	57.000
8.730	57.000
8.740	56.800
8.750	56.700
8.760	56.800
8.770	56.600
8.780	56.600
8.790	56.500
8.800	56.400
8.810	56.300
8.820	56.200
8.830	56.200
8.840	56.100
8.850	56.100
8.860	56.000
8.870	56.000
8.880	55.900
8.890	55.800
8.900	55.700
8.910	55.600
8.920	55.600
8.930	55.600
8.940	55.400
8.950	55.100
8.960	55.100
8.970	55.300
8.980	54.900
8.990	54.900
9.000	54.800
9.010	54.600
9.020	54.500
9.030	54.400
9.040	54.400
9.050	54.200
9.060	54.200
9.070	54.100
9.080	54.000
9.090	53.800
9.100	53.700
9.110	53.600
9.120	53.500
9.130	53.400
9.140	53.400
9.150	53.300
9.160	53.300
9.170	53.200
9.180	53.200
9.190	53.000
9.200	53.000
9.210	53.000
9.220	52.900
9.230	52.800
9.240	52.800
9.250	52.700
9.260	52.800
9.270	52.600
9.280	52.400
9.290	52.300
9.300	52.200
9.310	52.100
9.320	52.000
9.330	51.900
9.340	51.800
9.350	51.800
9.360	51.700
9.370	51.700
9.380	51.600
9.390	51.500
9.400	51.400
9.410	51.300
9.420	51.100
9.430	51.200
9.440	51.200
9.450	51.100
9.460	51.100
9.470	51.000
9.480	51.000
9.490	50.900
9.500	50.800
9.510	50.800
9.520	50.700
9.530	50.700
9.540	50.600
9.550	50.400
9.560	50.300
9.570	50.200
9.580	50.100
9.590	50.000
9.600	50.000
9.610	49.800
9.620	49.700
9.630	49.600
9.640	49.500
9.650	49.500
9.660	49.500
9.670	49.400
9.680	49.300
9.690	49.200
9.700	49.100
9.710	49.100
9.720	49.000
9.730	48.900
9.740	48.900
9.750	48.600
9.760	48.700
9.770	48.800
9.780	48.600
9.790	48.500
9.800	48.400
9.810	48.400
9.820	48.300
9.830	48.200
9.840	48.100
9.850	48.100
9.860	48.000
9.870	47.900
9.880	47.900
9.890	47.800
9.900	47.700
9.910	47.600
9.920	47.500
9.930	47.400
9.940	47.300
9.950	47.100
9.960	47.000
9.970	47.000
9.980	46.800
9.990	46.800
10.000	46.700
10.010	46.600
10.020	46.400
10.030	46.500
10.040	46.500
10.050	46.300
10.060	46.200
10.070	46.000
10.080	45.900
10.090	45.800
10.100	45.700
10.110	45.700
10.120	45.700
10.130	45.500
10.140	45.400
10.150	45.400
10.160	45.400
10.170	45.300
10.180	45.200
10.190	45.100
10.200	45.100
10.210	45.000
10.220	44.900
10.230	44.800
10.240	44.800
10.250	44.700
10.260	44.700
10.270	44.700
10.280	44.500
10.290	44.300
10.300	44.300
10.310	44.100
10.320	44.000
10.330	43.900
10.340	43.900
10.350	43.800
10.360	43.700
10.370	43.700
10.380	43.600
10.390	43.600
10.400	43.500
10.410	43.500
10.420	43.300
10.430	43.300
10.440	43.100
10.450	43.000
10.460	43.000
10.470	43.000
10.480	42.900
10.490	42.900
10.500	42.800
10.510	42.700
10.520	42.700
10.530	42.600
10.540	42.500
10.550	42.500
10.560	42.400
10.570	42.300
10.580	42.300
10.590	42.200
10.600	42.100
10.610	42.000
10.620	42.000
10.630	41.800
10.640	41.700
10.650	41.600
10.660	41.500
10.670	41.400
10.680	41.300
10.690	41.200
10.700	41.100
10.710	41.000
10.720	41.000
10.730	41.000
10.740	40.900
10.750	40.900
10.760	40.700
10.770	40.700
10.780	40.600
10.790	40.600
10.800	40.500
10.810	40.400
10.820	40.300
10.830	40.300
10.840	40.200
10.850	40.100
10.860	40.100
10.870	39.900
10.880	39.900
10.890	39.900
10.900	39.800
10.910	39.700
10.920	39.600
10.930	39.500
10.940	39.500
10.950	39.300
10.960	39.300
10.970	39.200
10.980	39.200
10.990	39.100
11.000	39.000
11.010	38.900
11.020	38.900
11.030	38.800
11.040	38.700
11.050	38.600
11.060	38.500
11.070	38.400
11.080	38.300
11.090	38.300
11.100	38.200
11.110	38.100
11.120	37.900
11.130	37.900
11.140	37.800
11.150	37.700
11.160	37.700
11.170	37.600
11.180	37.500
11.190	37.400
11.200	37.300
11.210	37.200
11.220	37.200
11.230	37.100
11.240	37.000
11.250	36.800
11.260	36.700
11.270	36.600
11.280	36.600
11.290	36.500
11.300	36.500
11.310	36.400
11.320	36.300
11.330	36.200
11.340	36.200
11.350	36.100
11.360	36.000
11.370	35.900
11.380	35.800
11.390	35.800
11.400	35.700
11.410	35.700
11.420	35.600
11.430	35.500
11.440	35.400
11.450	35.300
11.460	35.300
11.470	35.100
11.480	35.100
11.490	35.000
11.500	35.000
11.510	35.000
11.520	34.900
11.530	34.700
11.540	34.600
11.550	34.500
11.560	34.400
11.570	34.300
11.580	34.200
11.590	34.200
11.600	34.100
11.610	34.100
11.620	34.000
11.630	33.900
11.640	33.900
11.650	33.800
11.660	33.800
11.670	33.700
11.680	33.600
11.690	33.500
11.700	33.500
11.710	33.400
11.720	33.200
11.730	33.200
11.740	33.100
11.750	33.100
11.760	33.000
11.770	33.000
11.780	32.900
11.790	32.900
11.800	32.800
11.810	32.700
11.820	32.600
11.830	32.500
11.840	32.500
11.850	32.400
11.860	32.300
11.870	32.200
11.880	32.200
11.890	32.100
11.900	32.000
11.910	31.900
11.920	31.900
11.930	31.800
11.940	31.700
11.950	31.600
11.960	31.500
11.970	31.500
11.980	31.300
11.990	31.100
12.000	31.100
12.010	31.100
12.020	31.000
12.030	30.800
12.040	30.800
12.050	30.700
12.060	30.600
12.070	30.500
12.080	30.500
12.090	30.400
12.100	30.300
12.110	30.300
12.120	30.200
12.130	30.100
12.140	30.000
12.150	29.900
12.160	29.900
12.170	29.800
12.180	29.700
12.190	29.700
12.200	29.600
12.210	29.500
12.220	29.400
12.230	29.400
12.240	29.300
12.250	29.200
12.260	29.100
12.270	29.100
12.280	29.000
12.290	29.000
12.300	28.900
12.310	28.800
12.320	28.800
12.330	28.700
12.340	28.600
12.350	28.500
12.360	28.500
12.370	28.400
12.380	28.300
12.390	28.200
12.400	28.100
12.410	28.000
12.420	27.900
12.430	27.800
12.440	27.800
12.450	27.700
12.460	27.600
12.470	27.500
12.480	27.500
12.490	27.400
12.500	27.300
12.510	27.200
12.520	27.100
12.530	27.100
12.540	27.000
12.550	26.900
12.560	26.800
12.570	26.700
12.580	26.700
12.590	26.600
12.600	26.500
12.610	26.400
12.620	26.400
12.630	26.300
12.640	26.200
12.650	26.100
12.660	26.000
12.670	26.000
12.680	26.000
12.690	25.900
12.700	25.800
12.710	25.700
12.720	25.600
12.730	25.600
12.740	25.500
12.750	25.400
12.760	25.300
12.770	25.300
12.780	25.200
12.790	25.100
12.800	25.000
12.810	24.900
12.820	24.800
12.830	24.800
12.840	24.600
12.850	24.500
12.860	24.500
12.870	24.400
12.880	24.400
12.890	24.300
12.900	24.200
12.910	24.100
12.920	24.100
12.930	24.000
12.940	23.900
12.950	23.800
12.960	23.700
12.970	23.600
12.980	23.500
12.990	23.500
13.000	23.400
13.010	23.400
13.020	23.300
13.030	23.200
13.040	23.100
13.050	23.000
13.060	23.000
13.070	22.900
13.080	22.800
13.090	22.700
13.100	22.700
13.110	22.600
13.120	22.500
13.130	22.400
13.140	22.300
13.150	22.300
13.160	22.200
13.170	22.100
13.180	22.000
13.190	21.900
13.200	21.800
13.210	21.800
13.220	21.700
13.230	21.700
13.240	21.600
13.250	21.600
13.260	21.500
13.270	21.400
