%Time(s)	Speed(rpm)		
	%3/13/201511:14 AM
5.500	80.200
5.510	80.100
5.520	79.900
5.530	79.900
5.540	79.900
5.550	79.800
5.560	79.700
5.570	79.700
5.580	79.500
5.590	79.300
5.600	79.400
5.610	79.400
5.620	79.400
5.630	79.300
5.640	79.300
5.650	79.300
5.660	79.300
5.670	79.200
5.680	79.100
5.690	78.900
5.700	78.800
5.710	78.700
5.720	78.500
5.730	78.600
5.740	78.400
5.750	78.300
5.760	78.300
5.770	78.300
5.780	78.200
5.790	78.100
5.800	77.900
5.810	77.900
5.820	77.900
5.830	77.800
5.840	77.700
5.850	77.500
5.860	77.500
5.870	77.500
5.880	77.500
5.890	77.300
5.900	77.100
5.910	77.000
5.920	76.900
5.930	76.800
5.940	76.700
5.950	76.600
5.960	76.600
5.970	76.600
5.980	76.400
5.990	76.300
6.000	76.000
6.010	76.000
6.020	76.100
6.030	76.000
6.040	76.000
6.050	76.000
6.060	76.100
6.070	76.000
6.080	75.900
6.090	75.800
6.100	75.800
6.110	75.700
6.120	75.800
6.130	75.600
6.140	75.500
6.150	75.400
6.160	75.400
6.170	75.300
6.180	75.300
6.190	75.200
6.200	75.100
6.210	74.800
6.220	74.800
6.230	74.900
6.240	74.800
6.250	74.900
6.260	74.700
6.270	74.800
6.280	74.800
6.290	74.100
6.300	75.000
6.310	74.500
6.320	74.300
6.330	74.300
6.340	74.200
6.350	74.000
6.360	74.000
6.370	73.900
6.380	73.900
6.390	73.700
6.400	73.700
6.410	73.700
6.420	73.600
6.430	73.400
6.440	73.400
6.450	73.400
6.460	73.300
6.470	73.200
6.480	73.200
6.490	73.000
6.500	72.900
6.510	73.000
6.520	72.900
6.530	72.800
6.540	72.700
6.550	72.400
6.560	72.400
6.570	72.200
6.580	72.100
6.590	72.100
6.600	72.000
6.610	71.900
6.620	71.900
6.630	71.900
6.640	71.800
6.650	71.500
6.660	71.400
6.670	71.400
6.680	71.400
6.690	71.400
6.700	71.500
6.710	71.200
6.720	71.400
6.730	71.400
6.740	71.300
6.750	71.200
6.760	71.100
6.770	71.100
6.780	71.000
6.790	71.000
6.800	70.800
6.810	70.800
6.820	70.800
6.830	70.700
6.840	70.600
6.850	70.500
6.860	70.500
6.870	70.400
6.880	70.000
6.890	70.200
6.900	70.300
6.910	70.200
6.920	70.100
6.930	70.100
6.940	70.000
6.950	69.900
6.960	69.900
6.970	69.900
6.980	69.900
6.990	69.800
7.000	69.500
7.010	69.500
7.020	69.300
7.030	69.300
7.040	69.200
7.050	69.200
7.060	69.000
7.070	69.000
7.080	68.900
7.090	68.900
7.100	68.800
7.110	68.700
7.120	68.400
7.130	68.500
7.140	68.600
7.150	68.400
7.160	68.000
7.170	68.800
7.180	68.100
7.190	68.100
7.200	68.000
7.210	68.000
7.220	67.900
7.230	67.900
7.240	67.700
7.250	67.600
7.260	67.400
7.270	67.300
7.280	67.300
7.290	67.200
7.300	67.100
7.310	67.100
7.320	67.100
7.330	67.000
7.340	66.900
7.350	66.400
7.360	66.700
7.370	66.600
7.380	66.500
7.390	66.500
7.400	66.500
7.410	66.400
7.420	66.400
7.430	66.500
7.440	66.400
7.450	66.300
7.460	66.200
7.470	66.100
7.480	66.100
7.490	66.100
7.500	65.900
7.510	65.800
7.520	65.900
7.530	65.700
7.540	65.800
7.550	65.800
7.560	65.600
7.570	65.500
7.580	65.500
7.590	65.400
7.600	65.200
7.610	65.100
7.620	65.200
7.630	65.200
7.640	65.100
7.650	65.100
7.660	65.000
7.670	65.000
7.680	64.800
7.690	64.700
7.700	64.800
7.710	64.700
7.720	64.200
7.730	64.400
7.740	64.500
7.750	64.200
7.760	64.100
7.770	64.100
7.780	64.000
7.790	63.900
7.800	63.900
7.810	63.900
7.820	63.800
7.830	63.700
7.840	63.600
7.850	63.300
7.860	63.400
7.870	63.400
7.880	63.300
7.890	63.300
7.900	63.200
7.910	63.100
7.920	63.000
7.930	62.900
7.940	62.800
7.950	62.800
7.960	62.600
7.970	62.800
7.980	62.600
7.990	62.500
8.000	62.400
8.010	62.200
8.020	62.200
8.030	62.100
8.040	62.000
8.050	61.900
8.060	61.900
8.070	61.800
8.080	61.800
8.090	61.700
8.100	61.500
8.110	61.400
8.120	61.400
8.130	61.400
8.140	61.300
8.150	61.200
8.160	61.200
8.170	61.200
8.180	61.200
8.190	61.100
8.200	61.100
8.210	61.000
8.220	60.900
8.230	60.800
8.240	60.900
8.250	60.900
8.260	60.800
8.270	60.700
8.280	60.600
8.290	60.500
8.300	60.500
8.310	60.500
8.320	60.400
8.330	60.300
8.340	60.200
8.350	60.200
8.360	60.200
8.370	60.000
8.380	59.800
8.390	59.900
8.400	59.900
8.410	59.800
8.420	59.800
8.430	59.700
8.440	59.600
8.450	59.500
8.460	59.400
8.470	59.300
8.480	59.300
8.490	59.400
8.500	59.400
8.510	59.000
8.520	59.000
8.530	58.900
8.540	58.800
8.550	58.700
8.560	58.700
8.570	58.700
8.580	58.600
8.590	58.500
8.600	58.500
8.610	58.300
8.620	58.300
8.630	58.300
8.640	58.100
8.650	58.100
8.660	57.900
8.670	57.900
8.680	57.800
8.690	57.800
8.700	57.800
8.710	57.700
8.720	57.600
8.730	57.600
8.740	57.400
8.750	57.400
8.760	57.400
8.770	57.300
8.780	57.000
8.790	56.800
8.800	57.500
8.810	56.900
8.820	56.800
8.830	56.700
8.840	56.600
8.850	56.600
8.860	56.500
8.870	56.500
8.880	56.400
8.890	56.300
8.900	56.300
8.910	56.200
8.920	56.100
8.930	56.000
8.940	55.900
8.950	55.900
8.960	55.700
8.970	55.700
8.980	55.700
8.990	55.700
9.000	55.600
9.010	55.600
9.020	55.500
9.030	55.600
9.040	55.400
9.050	55.400
9.060	55.400
9.070	55.300
9.080	55.200
9.090	55.200
9.100	55.200
9.110	55.000
9.120	55.000
9.130	54.900
9.140	54.900
9.150	54.800
9.160	54.800
9.170	54.700
9.180	54.700
9.190	54.600
9.200	54.500
9.210	54.500
9.220	54.400
9.230	54.300
9.240	54.100
9.250	54.100
9.260	54.200
9.270	54.100
9.280	54.000
9.290	54.000
9.300	54.000
9.310	53.900
9.320	53.800
9.330	53.700
9.340	53.500
9.350	53.600
9.360	53.600
9.370	53.600
9.380	53.500
9.390	53.300
9.400	53.200
9.410	53.100
9.420	53.100
9.430	53.000
9.440	53.000
9.450	52.900
9.460	52.900
9.470	52.700
9.480	52.700
9.490	52.600
9.500	52.600
9.510	52.500
