%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82570.072,301.210,0.955,10.239,50.061,0.176,39.301,41.757,44.635,45.064,45.314,41.283,41.719,42.044,42.720,44.362,46.801,40.005,47.534,45.419,44.434,42.752,-0.009,0.014,0.214,0.001,535.048,336.269
82570.072,301.209,0.955,10.247,50.140,0.016,40.384,42.539,44.100,45.064,45.314,41.283,42.254,42.044,43.615,44.989,47.330,41.494,47.010,46.151,44.018,42.526,-0.009,-0.044,0.214,0.001,535.048,336.269
82578.135,301.219,0.955,15.060,108.306,0.336,93.868,96.578,97.192,99.224,99.172,95.447,95.206,96.209,97.533,98.641,101.314,95.650,101.768,100.152,98.744,97.574,-0.019,-0.025,0.428,0.001,535.048,336.269
82582.166,301.219,0.955,15.060,108.306,0.336,94.734,97.136,99.333,99.747,100.037,96.799,95.741,96.960,98.540,99.476,102.160,95.969,102.605,100.047,98.744,98.363,-0.030,-0.005,0.438,0.001,535.048,336.269
82574.103,301.219,0.955,15.060,108.306,0.176,94.409,97.917,100.189,100.583,100.794,97.527,97.132,96.638,98.876,99.581,102.477,96.714,102.919,101.512,99.471,98.138,-0.009,-0.025,0.418,0.001,535.048,336.269
82582.166,301.217,0.955,15.049,108.148,0.016,95.816,97.694,100.724,101.001,101.119,97.735,97.774,98.140,98.876,100.416,102.688,96.288,103.757,101.617,100.406,98.250,-0.019,-0.005,0.438,-0.000,535.048,336.269
82586.197,301.220,0.955,15.054,108.227,0.496,96.358,98.587,100.082,100.896,101.335,97.111,97.239,97.925,99.435,100.311,102.793,97.139,103.129,101.826,100.613,98.363,-0.009,0.014,0.448,0.001,535.048,336.269
82578.135,301.219,0.955,15.055,108.227,0.336,96.249,98.141,100.724,100.687,101.227,98.165,97.132,97.282,99.547,100.938,102.371,97.139,103.652,100.884,100.509,98.476,-0.019,-0.025,0.438,0.001,535.048,336.269
82578.135,301.222,0.955,15.049,108.148,0.656,95.275,98.029,99.975,100.792,100.794,97.333,96.811,96.853,99.211,100.729,102.688,96.395,103.129,101.407,99.679,98.363,0.002,-0.005,0.448,-0.000,535.048,336.269
82578.135,301.220,0.955,15.049,108.148,0.336,95.600,97.582,100.296,100.896,101.227,97.021,97.346,97.389,99.099,100.520,103.216,96.820,103.443,101.721,100.302,98.589,-0.009,-0.044,0.428,0.001,535.048,336.269
