%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82219.341,300.906,0.952,9.818,45.881,0.048,34.970,37.403,39.926,40.150,39.799,37.118,36.478,35.931,39.030,39.978,42.364,36.281,42.619,40.821,38.724,38.466,0.006,0.001,0.183,0.000,535.048,336.269
82211.278,300.907,0.952,9.819,45.881,-0.112,35.403,36.845,39.926,40.777,40.448,37.846,36.585,37.111,38.023,40.083,42.893,36.281,42.515,41.344,39.554,37.789,0.017,0.021,0.183,0.001,535.048,336.269
82215.309,300.906,0.952,9.776,45.485,0.048,35.403,37.626,38.856,40.777,40.340,37.638,36.906,37.325,39.813,39.457,41.942,36.068,42.305,40.821,39.139,38.466,0.006,-0.018,0.183,-0.001,535.048,336.269
82219.341,300.888,0.952,15.080,108.235,-0.272,91.594,94.234,96.550,96.610,97.442,93.992,92.746,93.313,94.849,96.345,98.251,93.097,99.151,96.922,95.927,94.641,0.006,0.001,0.396,0.000,535.048,336.269
82219.341,300.891,0.952,15.074,108.156,-0.592,91.486,93.452,95.694,97.447,95.820,93.576,93.174,93.313,95.409,96.971,99.413,92.884,99.465,97.655,95.615,95.543,-0.015,-0.018,0.406,-0.001,535.048,336.269
82219.341,300.891,0.952,15.091,108.393,-0.112,91.269,93.452,96.229,96.610,97.226,93.264,93.067,93.635,94.961,96.345,98.357,92.458,98.941,97.341,95.615,93.513,0.006,-0.018,0.396,0.000,535.048,336.269
82223.372,300.888,0.952,15.074,108.156,-0.112,90.836,93.898,95.801,96.297,96.469,93.160,92.319,93.313,95.409,95.301,98.462,92.458,98.732,96.818,95.511,94.190,0.006,0.001,0.416,0.001,535.048,336.269
82227.403,300.888,0.952,15.079,108.235,-0.272,90.728,94.122,96.122,96.192,97.009,93.680,92.960,93.635,94.961,96.763,98.357,92.352,98.732,97.236,95.304,94.641,-0.004,0.001,0.396,0.001,535.048,336.269
82219.341,300.890,0.952,15.074,108.156,-0.272,92.027,93.229,95.801,96.924,96.793,93.368,92.746,93.421,94.737,96.554,98.885,92.352,99.046,97.132,95.304,94.190,0.006,0.001,0.406,-0.001,535.048,336.269
82215.309,300.891,0.952,15.080,108.235,-0.272,91.378,93.675,95.908,96.506,96.901,92.744,92.532,93.099,94.849,96.136,98.251,92.033,98.522,96.713,95.096,93.513,-0.004,0.021,0.396,-0.001,535.048,336.269
82227.403,300.891,0.952,15.090,108.393,-0.112,91.486,94.010,96.122,96.506,97.009,93.576,92.746,92.884,94.402,96.032,98.251,92.990,99.465,96.399,95.615,94.303,-0.015,-0.037,0.396,-0.000,535.048,336.269
82231.435,300.890,0.952,15.079,108.235,-0.432,90.945,93.787,95.587,96.297,96.360,93.264,92.853,92.134,94.387,96.136,98.462,92.671,99.151,97.341,95.408,94.303,0.006,-0.037,0.396,0.001,535.048,336.269
82211.278,300.891,0.952,15.070,108.077,-0.272,91.703,92.782,95.587,96.401,96.793,93.576,92.319,93.957,94.946,96.867,99.413,92.458,99.360,96.818,96.342,94.641,0.006,-0.056,0.386,0.000,535.048,336.269
82227.403,300.888,0.952,15.073,108.156,-0.112,91.811,93.452,95.266,96.715,96.577,93.160,93.174,92.992,95.058,95.823,98.357,91.926,98.208,96.922,95.408,94.303,-0.004,-0.037,0.376,0.001,535.048,336.269
82219.341,300.890,0.952,15.074,108.156,-0.272,91.486,94.457,96.550,96.820,97.226,94.200,92.853,93.742,95.170,96.554,98.885,92.778,98.836,96.190,95.719,94.190,0.017,-0.037,0.396,0.002,535.048,336.269
82211.278,300.891,0.952,15.081,108.235,-0.112,91.919,93.564,95.801,97.133,96.252,93.472,93.067,92.348,95.282,96.032,98.885,92.246,99.256,97.341,94.785,94.190,-0.004,0.001,0.396,-0.000,535.048,336.269
82219.341,300.890,0.952,15.085,108.314,0.048,91.594,93.229,95.373,96.715,97.009,92.952,92.319,93.206,94.164,95.928,98.991,92.565,99.046,96.713,96.030,93.851,-0.015,-0.037,0.386,-0.001,535.048,336.269
82227.403,300.890,0.952,15.074,108.156,-0.432,91.378,94.122,95.801,96.924,97.442,93.264,93.174,93.099,95.729,95.614,98.040,91.927,98.418,96.504,95.304,93.964,-0.025,-0.018,0.396,-0.001,535.048,336.269
82223.372,300.893,0.952,15.074,108.156,-0.112,90.945,93.340,95.694,95.774,96.793,92.952,92.425,92.777,94.723,96.658,97.829,92.671,98.523,95.981,95.304,93.739,-0.025,-0.037,0.386,0.001,535.048,336.269
